date,hostname,CPU_1,CPU_2,P1_DIMM_1-4,P1_DIMM_5-8,P2_DIMM_1-4,P2_DIMM_5-8,Sys_Exhaust_1,Sys_Exhaust_2,P/S_1_Inlet,P/S_2_Inlet,P/S_1_Exhaust,P/S_2_Exhaust,PS_1_Output,PS_2_Output,CPU_Utilization
1630054901.0388477,xlr178node115,40.000,40.000,17.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,575.000,545.000,252.000
1630055046.1423092,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,22.000,24.000,8.000,8.000,41.000,40.000,365.000,340.000,0.000
1630055105.839192,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,22.000,23.000,8.000,8.000,40.000,40.000,330.000,300.000,0.000
1630055165.3682878,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,22.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630055225.6949503,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,22.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630055285.8889568,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,315.000,0.000
1630055345.8189752,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630055405.8621676,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,315.000,0.000
1630055465.9783158,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,315.000,0.000
1630055525.9580061,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630055585.8536296,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630055645.5139146,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630055705.290413,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,315.000,0.000
1630055765.93082,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,315.000,0.000
1630055825.766257,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,315.000,0.000
1630055886.0507076,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630055946.0154104,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630056005.7305357,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630056065.3212097,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,41.000,41.000,590.000,560.000,252.000
1630056126.0030715,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630056365.3144534,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,41.000,595.000,565.000,252.000
1630056425.2542515,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,41.000,590.000,560.000,252.000
1630056486.1649506,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,565.000,252.000
1630056546.1184182,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630056606.1996007,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,585.000,560.000,252.000
1630056666.1484444,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630056726.125544,xlr178node115,40.000,40.000,17.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630056786.0650232,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,21.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630056845.8701463,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,41.000,590.000,560.000,252.000
1630056905.8477588,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,555.000,252.000
1630056965.779369,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630057025.7090428,xlr178node115,40.000,40.000,18.000,17.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630057085.5451243,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,565.000,252.000
1630057145.5313401,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630057205.3574865,xlr178node115,40.000,40.000,18.000,17.000,15.000,16.000,22.000,24.000,8.000,7.000,41.000,40.000,590.000,560.000,252.000
1630057265.5399892,xlr178node115,40.000,40.000,17.000,17.000,15.000,15.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630057325.7204647,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,41.000,590.000,560.000,252.000
1630057385.7728505,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630057445.583595,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630057505.6063032,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630057565.7019398,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630057625.687027,xlr178node115,40.000,40.000,18.000,17.000,15.000,16.000,21.000,24.000,8.000,7.000,41.000,40.000,590.000,560.000,252.000
1630057686.4251616,xlr178node115,40.000,40.000,18.000,17.000,15.000,16.000,21.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630057746.240684,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,41.000,590.000,565.000,252.000
1630057806.2603185,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,41.000,590.000,560.000,252.000
1630057865.6440728,xlr178node115,40.000,40.000,17.000,17.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630057925.6347055,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,565.000,252.000
1630057985.738606,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630058045.5396922,xlr178node115,40.000,40.000,18.000,18.000,15.000,16.000,21.000,24.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630058105.6580114,xlr178node115,40.000,40.000,18.000,17.000,15.000,16.000,21.000,23.000,8.000,7.000,41.000,40.000,590.000,560.000,252.000
1630058165.6368809,xlr178node115,40.000,40.000,18.000,17.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,40.000,590.000,560.000,252.000
1630058225.5980842,xlr178node115,40.000,40.000,18.000,18.000,16.000,16.000,21.000,23.000,8.000,8.000,41.000,41.000,590.000,565.000,252.000
1630058286.3635128,xlr178node115,40.000,40.000,18.000,18.000,16.000,16.000,22.000,24.000,8.000,8.000,41.000,41.000,590.000,560.000,252.000
