date,hostname,load1,CPU_1,CPU_2,P1_DIMM_1-4,P1_DIMM_5-8,P2_DIMM_1-4,P2_DIMM_5-8,Sys_Exhaust_1,Sys_Exhaust_2,P/S_1_Inlet,P/S_2_Inlet,P/S_1_Exhaust,P/S_2_Exhaust,PS_1_Output,PS_2_Output,CPU_Utilization
1630309086.0885582,xlr178node115,0.00,36.000,39.000,16.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630309146.1574512,xlr178node115,0.00,36.000,39.000,16.000,16.000,15.000,15.000,21.000,23.000,8.000,7.000,40.000,40.000,345.000,320.000,0.000
1630309206.6788218,xlr178node115,0.00,36.000,39.000,16.000,16.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630309266.158367,xlr178node115,0.00,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630309326.688075,xlr178node115,0.67,37.000,41.000,16.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630309386.426223,xlr178node115,63.53,46.000,47.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,7.000,40.000,40.000,460.000,445.000,252.000
1630309446.3370302,xlr178node115,104.35,49.000,48.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,505.000,485.000,252.000
1630309506.204887,xlr178node115,119.46,47.000,49.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,41.000,580.000,555.000,252.000
1630309567.0218086,xlr178node115,123.69,49.000,49.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,41.000,585.000,555.000,252.000
1630309625.9088068,xlr178node115,126.28,49.000,49.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,40.000,580.000,555.000,252.000
1630309687.298718,xlr178node115,127.42,47.000,49.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,40.000,580.000,555.000,252.000
1630309746.6830919,xlr178node115,124.29,47.000,49.000,17.000,17.000,15.000,15.000,21.000,24.000,8.000,8.000,41.000,40.000,585.000,555.000,252.000
1630309806.5095196,xlr178node115,124.48,48.000,49.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,7.000,41.000,40.000,580.000,555.000,252.000
1630309865.8881254,xlr178node115,126.05,47.000,49.000,17.000,17.000,15.000,15.000,22.000,24.000,8.000,7.000,41.000,40.000,580.000,555.000,252.000
1630309925.9654584,xlr178node115,126.94,49.000,49.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,7.000,41.000,40.000,585.000,555.000,252.000
1630309986.651084,xlr178node115,127.10,47.000,49.000,17.000,17.000,15.000,15.000,22.000,24.000,8.000,7.000,41.000,40.000,585.000,555.000,252.000
1630310046.3534875,xlr178node115,127.67,47.000,49.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,41.000,40.000,580.000,550.000,252.000
1630310106.6663382,xlr178node115,125.74,47.000,48.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,41.000,40.000,585.000,555.000,252.000
1630310166.1383305,xlr178node115,127.17,47.000,49.000,17.000,17.000,15.000,15.000,22.000,24.000,8.000,8.000,41.000,40.000,585.000,555.000,252.000
1630310226.3781419,xlr178node115,127.79,48.000,49.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,41.000,40.000,585.000,555.000,252.000
1630310286.3340926,xlr178node115,127.81,47.000,48.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,41.000,40.000,585.000,555.000,252.000
1630310346.124929,xlr178node115,122.63,47.000,48.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,7.000,41.000,40.000,580.000,555.000,252.000
1630310406.5665789,xlr178node115,118.10,46.000,48.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,7.000,41.000,40.000,585.000,555.000,252.000
1630310465.8279538,xlr178node115,124.54,47.000,49.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,41.000,585.000,555.000,252.000
1630310526.8523088,xlr178node115,124.09,47.000,49.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,41.000,40.000,585.000,555.000,252.000
1630310586.0112014,xlr178node115,124.73,48.000,48.000,17.000,17.000,15.000,15.000,22.000,24.000,8.000,8.000,41.000,40.000,580.000,555.000,252.000
1630310646.4460404,xlr178node115,126.80,47.000,48.000,17.000,17.000,15.000,15.000,22.000,24.000,8.000,8.000,41.000,40.000,585.000,555.000,252.000
1630310705.8899076,xlr178node115,127.56,47.000,48.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,7.000,41.000,40.000,585.000,555.000,252.000
1630310766.2893288,xlr178node115,126.26,49.000,49.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,7.000,41.000,40.000,585.000,555.000,252.000
1630310826.9283955,xlr178node115,126.43,48.000,49.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,40.000,585.000,555.000,252.000
1630310885.8380504,xlr178node115,123.69,47.000,48.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,41.000,41.000,580.000,555.000,252.000
1630310946.101984,xlr178node115,119.29,49.000,49.000,17.000,17.000,15.000,15.000,22.000,23.000,8.000,7.000,41.000,40.000,580.000,555.000,252.000
1630311006.293974,xlr178node115,124.80,48.000,48.000,17.000,17.000,15.000,16.000,22.000,23.000,8.000,8.000,41.000,40.000,580.000,555.000,252.000
1630311066.0113559,xlr178node115,126.70,47.000,49.000,17.000,17.000,15.000,16.000,22.000,23.000,8.000,8.000,41.000,40.000,580.000,555.000,252.000
1630311126.4007452,xlr178node115,127.38,49.000,49.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,7.000,41.000,40.000,585.000,555.000,252.000
1630311186.5500762,xlr178node115,126.72,46.000,48.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,7.000,41.000,40.000,580.000,555.000,252.000
1630311246.7729685,xlr178node115,124.01,47.000,49.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,40.000,585.000,555.000,252.000
1630311306.5030131,xlr178node115,126.47,49.000,49.000,17.000,18.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,41.000,585.000,555.000,252.000
1630311366.8172169,xlr178node115,126.13,48.000,49.000,17.000,18.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,41.000,585.000,555.000,252.000
1630311426.8630896,xlr178node115,119.60,47.000,49.000,17.000,17.000,15.000,16.000,22.000,23.000,8.000,8.000,41.000,40.000,585.000,555.000,252.000
1630311486.1452787,xlr178node115,120.15,48.000,48.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,40.000,585.000,555.000,252.000
1630311546.6322353,xlr178node115,117.57,49.000,48.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,7.000,41.000,40.000,585.000,555.000,252.000
1630311606.274346,xlr178node115,124.25,47.000,48.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,7.000,41.000,40.000,585.000,555.000,252.000
1630311666.1946301,xlr178node115,122.80,48.000,49.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,40.000,585.000,555.000,252.000
1630311726.18051,xlr178node115,126.19,46.000,49.000,17.000,18.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,41.000,585.000,555.000,252.000
1630311785.905187,xlr178node115,119.94,49.000,48.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,41.000,41.000,580.000,555.000,252.000
1630311846.9985633,xlr178node115,125.02,47.000,49.000,17.000,17.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,40.000,585.000,555.000,252.000
1630311906.2372503,xlr178node115,122.49,47.000,48.000,17.000,17.000,15.000,16.000,22.000,23.000,8.000,7.000,41.000,40.000,580.000,555.000,252.000
1630311966.324251,xlr178node115,116.86,48.000,49.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,7.000,41.000,40.000,585.000,555.000,252.000
1630312026.763555,xlr178node115,120.97,48.000,48.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,7.000,41.000,40.000,585.000,555.000,252.000
1630312086.097496,xlr178node115,120.95,47.000,49.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,41.000,585.000,555.000,252.000
1630312146.3639932,xlr178node115,124.24,46.000,49.000,17.000,18.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,41.000,585.000,555.000,252.000
1630312205.8854914,xlr178node115,126.56,48.000,49.000,17.000,17.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,41.000,580.000,555.000,252.000
1630312266.2773252,xlr178node115,127.47,50.000,48.000,17.000,17.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,41.000,585.000,555.000,252.000
1630312326.7962337,xlr178node115,127.81,48.000,49.000,17.000,18.000,15.000,16.000,21.000,24.000,8.000,7.000,41.000,40.000,585.000,555.000,252.000
1630312386.1809814,xlr178node115,127.79,47.000,49.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,7.000,41.000,40.000,580.000,555.000,252.000
1630312446.4050748,xlr178node115,118.68,49.000,48.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,40.000,585.000,555.000,252.000
1630312507.2370675,xlr178node115,124.58,49.000,49.000,17.000,18.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,41.000,580.000,555.000,252.000
1630312566.4983404,xlr178node115,123.38,48.000,49.000,17.000,18.000,15.000,16.000,22.000,23.000,8.000,8.000,41.000,41.000,580.000,555.000,252.000
1630312626.5622628,xlr178node115,123.98,46.000,49.000,17.000,17.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,41.000,585.000,555.000,252.000
1630312686.934663,xlr178node115,126.57,47.000,49.000,17.000,17.000,15.000,16.000,22.000,24.000,8.000,8.000,41.000,41.000,580.000,555.000,252.000
1630312746.1105783,xlr178node115,127.57,47.000,49.000,17.000,17.000,15.000,16.000,22.000,24.000,8.000,7.000,41.000,40.000,585.000,555.000,252.000
1630312806.5007942,xlr178node115,125.38,47.000,48.000,17.000,17.000,15.000,16.000,21.000,24.000,8.000,7.000,41.000,40.000,580.000,555.000,252.000
1630312866.4502587,xlr178node115,123.23,48.000,48.000,17.000,17.000,15.000,16.000,21.000,23.000,8.000,7.000,41.000,40.000,580.000,555.000,252.000
1630312926.769898,xlr178node115,126.35,48.000,49.000,17.000,18.000,15.000,16.000,21.000,23.000,8.000,8.000,41.000,41.000,585.000,555.000,252.000
1630312985.91401,xlr178node115,65.53,38.000,41.000,17.000,17.000,15.000,15.000,22.000,24.000,8.000,8.000,41.000,41.000,525.000,500.000,0.000
1630313046.5889118,xlr178node115,24.07,36.000,40.000,17.000,17.000,15.000,15.000,22.000,24.000,8.000,8.000,41.000,40.000,460.000,445.000,0.000
1630313106.2725627,xlr178node115,8.84,36.000,39.000,17.000,17.000,15.000,15.000,22.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630313165.8776762,xlr178node115,3.24,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,7.000,40.000,40.000,345.000,325.000,0.000
1630313226.6396406,xlr178node115,1.19,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630313286.2502,xlr178node115,0.43,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630313345.6502676,xlr178node115,0.16,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630313406.0296993,xlr178node115,0.06,36.000,39.000,16.000,17.000,15.000,15.000,21.000,23.000,8.000,7.000,40.000,40.000,345.000,320.000,0.000
1630313466.0686471,xlr178node115,0.02,36.000,39.000,16.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,325.000,0.000
1630313525.6297293,xlr178node115,0.00,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630313586.062191,xlr178node115,0.00,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,325.000,0.000
1630313646.4802353,xlr178node115,0.00,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630313705.9168491,xlr178node115,0.00,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630313766.5467482,xlr178node115,0.00,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630313825.941105,xlr178node115,0.00,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630313886.4640079,xlr178node115,0.00,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630313946.2677288,xlr178node115,0.00,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630314006.386184,xlr178node115,0.00,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630314065.8196852,xlr178node115,0.00,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
1630314126.50466,xlr178node115,0.00,36.000,39.000,17.000,17.000,15.000,15.000,21.000,23.000,8.000,8.000,40.000,40.000,345.000,320.000,0.000
